"Activity1","Activity2","Activity3","Duration","Next_Activity"
"JOIN-PAT","JOIN-PAT","JOIN-PAT",129943,9
"JOIN-PAT","JOIN-PAT","JOIN-PAT",136419,8
"JOIN-PAT","JOIN-PAT","FIN",131002,8
"JOIN-PAT","FIN","FIN",193383,13
"FIN","FIN","RELEASE",491846,13
"FIN","RELEASE","RELEASE",372795,6
"RELEASE","RELEASE","CODE OK",-354290,1
"RELEASE","CODE OK","BILLED",-659962,1
"NEW","CHANGE DIAGN","FIN",126902,13
"CHANGE DIAGN","FIN","RELEASE",-147884,6
"FIN","RELEASE","CODE OK",-152244,1
"NEW","CHANGE DIAGN","FIN",110856,13
"CHANGE DIAGN","FIN","RELEASE",-115769,6
"FIN","RELEASE","CODE OK",511955,1
"NEW","CHANGE DIAGN","FIN",532009,13
"CHANGE DIAGN","FIN","RELEASE",24225,6
"FIN","RELEASE","CODE OK",-525395,1
"NEW","CHANGE DIAGN","FIN",173610,13
"CHANGE DIAGN","FIN","RELEASE",76124,6
"FIN","RELEASE","CODE OK",-159405,1
"NEW","CHANGE DIAGN","FIN",-183776,13
"CHANGE DIAGN","FIN","RELEASE",-180808,6
"FIN","RELEASE","CODE OK",-191528,1
"NEW","CHANGE DIAGN","FIN",-106192,13
"CHANGE DIAGN","FIN","RELEASE",155134,6
"FIN","RELEASE","CODE OK",-12633,1
"NEW","FIN","RELEASE",-231727,6
"FIN","RELEASE","CODE OK",-212142,1
"NEW","CHANGE DIAGN","FIN",-159318,13
"CHANGE DIAGN","FIN","RELEASE",-160739,6
"FIN","RELEASE","CODE OK",-100690,1
"RELEASE","CODE OK","BILLED",166460,16
"CODE OK","BILLED","STORNO",163551,1
"BILLED","STORNO","BILLED",74688,16
"STORNO","BILLED","STORNO",-141926,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",110850,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-164910,13
"CHANGE DIAGN","FIN","RELEASE",-172222,6
"FIN","RELEASE","CODE OK",-142597,1
"NEW","FIN","RELEASE",-133211,6
"FIN","RELEASE","CODE OK",-137572,1
"NEW","CHANGE DIAGN","FIN",418784,13
"CHANGE DIAGN","FIN","RELEASE",418549,6
"FIN","RELEASE","CODE OK",408447,1
"NEW","CHANGE DIAGN","FIN",1074,13
"CHANGE DIAGN","FIN","RELEASE",1,6
"FIN","RELEASE","CODE OK",1,1
"NEW","CHANGE DIAGN","FIN",-375668,13
"CHANGE DIAGN","FIN","RELEASE",-381531,6
"FIN","RELEASE","CODE OK",166128,1
"NEW","FIN","RELEASE",-223862,5
"FIN","RELEASE","CODE NOK",-223813,7
"NEW","CHANGE DIAGN","FIN",313126,13
"CHANGE DIAGN","FIN","RELEASE",-118856,6
"FIN","RELEASE","CODE OK",-127432,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",55101,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",129516,13
"CHANGE DIAGN","FIN","RELEASE",120807,6
"FIN","RELEASE","CODE OK",75035,1
"NEW","FIN","RELEASE",-68812,6
"FIN","RELEASE","CODE OK",128933,1
"NEW","CHANGE DIAGN","FIN",-169217,13
"CHANGE DIAGN","FIN","RELEASE",-160972,6
"FIN","RELEASE","CODE OK",133405,1
"NEW","CHANGE DIAGN","FIN",-61531,13
"CHANGE DIAGN","FIN","RELEASE",-80274,6
"FIN","RELEASE","CODE OK",104620,1
"NEW","FIN","RELEASE",-152157,6
"FIN","RELEASE","CODE OK",-194642,1
"NEW","FIN","RELEASE",-87169,6
"FIN","RELEASE","CODE OK",-95760,13
"RELEASE","CODE OK","RELEASE",-126414,6
"CODE OK","RELEASE","CODE OK",89999,1
"NEW","CHANGE DIAGN","FIN",-123068,13
"CHANGE DIAGN","FIN","RELEASE",-254791,6
"FIN","RELEASE","CODE OK",-124915,1
"NEW","CHANGE DIAGN","FIN",-42019,13
"CHANGE DIAGN","FIN","RELEASE",-145299,6
"FIN","RELEASE","CODE OK",65410,1
"RELEASE","CODE OK","BILLED",60967,16
"CODE OK","BILLED","STORNO",-62619,1
"BILLED","STORNO","BILLED",-71497,16
"STORNO","BILLED","STORNO",3967,1
"NEW","FIN","RELEASE",-169325,6
"FIN","RELEASE","CODE OK",-159236,1
"NEW","CHANGE DIAGN","FIN",3508,13
"CHANGE DIAGN","FIN","RELEASE",-127426,6
"FIN","RELEASE","CODE OK",-127488,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",64207,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-51374,13
"CHANGE DIAGN","FIN","RELEASE",-55618,6
"FIN","RELEASE","CODE OK",17871,1
"NEW","FIN","RELEASE",-120389,6
"FIN","RELEASE","CODE OK",-124749,1
"NEW","FIN","RELEASE",-88744,6
"FIN","RELEASE","CODE OK",-97260,1
"RELEASE","CODE OK","BILLED",-243078,16
"CODE OK","BILLED","STORNO",9544,12
"BILLED","STORNO","REJECT",167122,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",108037,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-118784,13
"CHANGE DIAGN","FIN","RELEASE",-123144,6
"FIN","RELEASE","CODE OK",-60394,1
"NEW","CHANGE DIAGN","FIN",-222752,13
"CHANGE DIAGN","FIN","RELEASE",-293651,6
"FIN","RELEASE","CODE OK",6793,1
"NEW","CHANGE DIAGN","FIN",88349,13
"CHANGE DIAGN","FIN","RELEASE",808,6
"FIN","RELEASE","CODE OK",123203,1
"NEW","FIN","RELEASE",-135199,6
"FIN","RELEASE","CODE OK",-197443,1
"NEW","CHANGE DIAGN","FIN",-38049,13
"CHANGE DIAGN","FIN","RELEASE",-42468,6
"FIN","RELEASE","CODE OK",-151379,1
"NEW","CHANGE DIAGN","FIN",-65689,13
"CHANGE DIAGN","FIN","RELEASE",115008,6
"FIN","RELEASE","CODE OK",365247,1
"NEW","FIN","RELEASE",-465161,6
"FIN","RELEASE","CODE OK",-344608,1
"NEW","FIN","RELEASE",-85607,6
"FIN","RELEASE","CODE OK",-92951,1
"NEW","FIN","RELEASE",177034,6
"FIN","RELEASE","CODE OK",-102735,1
"RELEASE","CODE OK","BILLED",-108576,16
"CODE OK","BILLED","STORNO",-146910,12
"BILLED","STORNO","REJECT",133101,15
"NEW","CHANGE DIAGN","FIN",38868,13
"CHANGE DIAGN","FIN","RELEASE",1002,6
"FIN","RELEASE","CODE OK",13155,1
"NEW","FIN","RELEASE",507434,6
"FIN","RELEASE","CODE OK",43436,1
"NEW","CHANGE DIAGN","FIN",-655069,13
"CHANGE DIAGN","FIN","RELEASE",-655069,6
"FIN","RELEASE","CODE OK",-601902,1
"NEW","FIN","RELEASE",105484,5
"FIN","RELEASE","CODE NOK",937,15
"NEW","CHANGE DIAGN","FIN",131260,13
"CHANGE DIAGN","FIN","RELEASE",36037,6
"FIN","RELEASE","CODE OK",564915,1
"NEW","CHANGE DIAGN","FIN",-529479,13
"CHANGE DIAGN","FIN","RELEASE",-538755,6
"FIN","RELEASE","CODE OK",10817,1
"NEW","CHANGE DIAGN","FIN",-207704,13
"CHANGE DIAGN","FIN","RELEASE",89944,6
"FIN","RELEASE","CODE OK",68107,1
"NEW","CHANGE DIAGN","FIN",-376624,13
"CHANGE DIAGN","FIN","RELEASE",63925,6
"FIN","RELEASE","CODE OK",51393,1
"NEW","CHANGE DIAGN","FIN",-39637,13
"CHANGE DIAGN","FIN","RELEASE",72538,6
"FIN","RELEASE","CODE OK",71540,1
"NEW","CHANGE DIAGN","FIN",133079,13
"CHANGE DIAGN","FIN","RELEASE",137453,6
"FIN","RELEASE","CODE OK",108079,1
"RELEASE","CODE OK","BILLED",-131614,16
"CODE OK","BILLED","STORNO",-135987,1
"BILLED","STORNO","BILLED",-107805,16
"STORNO","BILLED","STORNO",131900,1
"NEW","FIN","RELEASE",-77180,6
"FIN","RELEASE","CODE OK",-126576,1
"NEW","FIN","RELEASE",-132931,6
"FIN","RELEASE","CODE OK",-137309,1
"RELEASE","CODE OK","BILLED",-169845,16
"CODE OK","BILLED","STORNO",95604,12
"BILLED","STORNO","REJECT",95682,14
"STORNO","REJECT","REOPEN",169839,8
"REJECT","REOPEN","FIN",-93785,13
"REOPEN","FIN","RELEASE",-93863,6
"FIN","RELEASE","CODE OK",-129470,1
"NEW","FIN","RELEASE",-97592,6
"FIN","RELEASE","CODE OK",-106168,1
"NEW","CHANGE DIAGN","FIN",-174992,13
"CHANGE DIAGN","FIN","RELEASE",-148231,6
"FIN","RELEASE","CODE OK",130188,1
"NEW","FIN","RELEASE",129969,6
"FIN","RELEASE","CODE OK",137282,14
"RELEASE","CODE OK","REOPEN",110840,8
"CODE OK","REOPEN","FIN",-76911,13
"REOPEN","FIN","RELEASE",-3861,6
"FIN","RELEASE","CODE OK",-58785,14
"RELEASE","CODE OK","REOPEN",128914,8
"CODE OK","REOPEN","FIN",57127,13
"REOPEN","FIN","RELEASE",112059,6
"FIN","RELEASE","CODE OK",-140339,1
"NEW","CHANGE DIAGN","FIN",23963,13
"CHANGE DIAGN","FIN","RELEASE",310327,6
"FIN","RELEASE","CODE OK",-176544,1
"RELEASE","CODE OK","BILLED",211609,16
"CODE OK","BILLED","STORNO",-92657,1
"NEW","FIN","RELEASE",-311721,10
"FIN","RELEASE","MANUAL",-249523,6
"RELEASE","MANUAL","CODE OK",133036,1
"NEW","FIN","RELEASE",-133512,6
"FIN","RELEASE","CODE OK",-119590,13
"RELEASE","CODE OK","RELEASE",117768,6
"CODE OK","RELEASE","CODE OK",120607,1
"NEW","FIN","RELEASE",-113625,6
"FIN","RELEASE","CODE OK",-45801,1
"NEW","FIN","RELEASE",42877,6
"FIN","RELEASE","CODE OK",38868,1
"NEW","CHANGE DIAGN","FIN",-138257,13
"CHANGE DIAGN","FIN","RELEASE",61069,6
"FIN","RELEASE","CODE OK",69766,1
"NEW","FIN","RELEASE",62454,6
"FIN","RELEASE","CODE OK",307369,1
"NEW","CHANGE DIAGN","FIN",-307545,13
"CHANGE DIAGN","FIN","RELEASE",85320,6
"FIN","RELEASE","CODE OK",85986,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",-90374,7
"NEW","CHANGE DIAGN","FIN",-115531,13
"CHANGE DIAGN","FIN","RELEASE",-29102,6
"FIN","RELEASE","CODE OK",128525,1
"NEW","CHANGE DIAGN","FIN",-138394,13
"CHANGE DIAGN","FIN","RELEASE",-310168,6
"FIN","RELEASE","CODE OK",128465,1
"NEW","CHANGE DIAGN","FIN",-277567,13
"CHANGE DIAGN","FIN","RELEASE",420,6
"FIN","RELEASE","CODE OK",10223,1
"NEW","CHANGE DIAGN","FIN",2727,13
"CHANGE DIAGN","FIN","RELEASE",44594,6
"FIN","RELEASE","CODE OK",-189609,1
"NEW","CHANGE DIAGN","FIN",3364,13
"CHANGE DIAGN","FIN","RELEASE",167,6
"FIN","RELEASE","CODE OK",879,1
"NEW","FIN","RELEASE",135190,6
"FIN","RELEASE","CODE OK",-13526,1
"NEW","FIN","RELEASE",230865,1
"NEW","CHANGE DIAGN","FIN",2164,13
"CHANGE DIAGN","FIN","RELEASE",4946,6
"FIN","RELEASE","CODE OK",239060,1
"NEW","CHANGE DIAGN","FIN",166189,13
"CHANGE DIAGN","FIN","RELEASE",164736,6
"FIN","RELEASE","CODE OK",47054,1
"NEW","FIN","RELEASE",675701,5
"FIN","RELEASE","CODE NOK",-227094,7
"NEW","FIN","RELEASE",1003,6
"FIN","RELEASE","CODE OK",265887,1
"NEW","CHANGE DIAGN","FIN",118412,13
"CHANGE DIAGN","FIN","RELEASE",118854,6
"FIN","RELEASE","CODE OK",107579,1
"NEW","FIN","RELEASE",-83641,6
"FIN","RELEASE","CODE OK",166158,1
"RELEASE","CODE OK","BILLED",166190,16
"CODE OK","BILLED","STORNO",93633,12
"BILLED","STORNO","REJECT",-212230,14
"STORNO","REJECT","REOPEN",-212259,2
"REJECT","REOPEN","CHANGE DIAGN",-169859,8
"REOPEN","CHANGE DIAGN","FIN",135974,13
"CHANGE DIAGN","FIN","RELEASE",140315,6
"FIN","RELEASE","CODE OK",104923,1
"NEW","CHANGE DIAGN","FIN",128800,13
"CHANGE DIAGN","FIN","RELEASE",136357,6
"FIN","RELEASE","CODE OK",97014,1
"NEW","CHANGE DIAGN","FIN",-171048,13
"CHANGE DIAGN","FIN","RELEASE",128667,6
"FIN","RELEASE","CODE OK",128766,1
"NEW","FIN","RELEASE",-144585,6
"FIN","RELEASE","CODE OK",-115227,1
"NEW","FIN","RELEASE",133022,6
"FIN","RELEASE","CODE OK",137395,1
"NEW","CHANGE DIAGN","FIN",73657,13
"CHANGE DIAGN","FIN","RELEASE",103814,6
"FIN","RELEASE","CODE OK",102146,1
"NEW","FIN","RELEASE",133446,6
"FIN","RELEASE","CODE OK",74486,1
"RELEASE","CODE OK","BILLED",106442,6
"NEW","CHANGE DIAGN","FIN",133427,13
"CHANGE DIAGN","FIN","RELEASE",114809,6
"FIN","RELEASE","CODE OK",125217,1
"NEW","CHANGE DIAGN","FIN",143692,13
"CHANGE DIAGN","FIN","RELEASE",-133117,6
"FIN","RELEASE","CODE OK",-140396,1
"NEW","FIN","RELEASE",-105533,6
"FIN","RELEASE","CODE OK",-98916,1
"NEW","CHANGE DIAGN","FIN",-124360,13
"CHANGE DIAGN","FIN","RELEASE",-128681,6
"FIN","RELEASE","CODE OK",-103428,1
"NEW","CHANGE DIAGN","FIN",-123465,13
"CHANGE DIAGN","FIN","RELEASE",-132041,6
"FIN","RELEASE","CODE OK",-212400,1
"NEW","FIN","RELEASE",309087,6
"FIN","RELEASE","CODE OK",-175215,1
"NEW","FIN","RELEASE",94527,6
"FIN","RELEASE","CODE OK",170227,1
"NEW","FIN","RELEASE",147437,6
"FIN","RELEASE","CODE OK",141997,1
"NEW","CHANGE DIAGN","FIN",132001,13
"CHANGE DIAGN","FIN","RELEASE",138268,6
"FIN","RELEASE","CODE OK",108012,1
"NEW","FIN","RELEASE",115655,6
"FIN","RELEASE","CODE OK",69719,1
"NEW","CHANGE DIAGN","FIN",-267488,13
"CHANGE DIAGN","FIN","RELEASE",9674,6
"FIN","RELEASE","CODE OK",236392,1
"NEW","CHANGE DIAGN","FIN",73155,13
"CHANGE DIAGN","FIN","RELEASE",78474,6
"FIN","RELEASE","CODE OK",44000,1
"NEW","CHANGE DIAGN","FIN",107201,13
"CHANGE DIAGN","FIN","RELEASE",107548,6
"FIN","RELEASE","CODE OK",70011,1
"NEW","CHANGE DIAGN","FIN",-29581,13
"CHANGE DIAGN","FIN","RELEASE",131973,6
"FIN","RELEASE","CODE OK",138248,1
"NEW","FIN","RELEASE",49350,6
"FIN","RELEASE","CODE OK",117903,1
"NEW","CHANGE DIAGN","FIN",62830,13
"CHANGE DIAGN","FIN","RELEASE",71050,6
"FIN","RELEASE","CODE OK",177034,1
"NEW","FIN","RELEASE",71256,6
"FIN","RELEASE","CODE OK",175628,1
"NEW","CHANGE DIAGN","FIN",-167482,13
"CHANGE DIAGN","FIN","RELEASE",-12636,6
"FIN","RELEASE","CODE OK",-39426,1
"NEW","CHANGE DIAGN","FIN",52973,13
"CHANGE DIAGN","FIN","RELEASE",-14920,6
"FIN","RELEASE","CODE OK",245123,1
"NEW","CHANGE DIAGN","FIN",84317,13
"CHANGE DIAGN","FIN","RELEASE",387599,6
"FIN","RELEASE","CODE OK",38377,1
"NEW","CHANGE DIAGN","FIN",534692,13
"CHANGE DIAGN","FIN","RELEASE",24641,6
"FIN","RELEASE","CODE OK",-518760,14
"RELEASE","CODE OK","REOPEN",1093,8
"CODE OK","REOPEN","FIN",-15426,13
"REOPEN","FIN","RELEASE",531739,6
"FIN","RELEASE","CODE OK",24345,1
"NEW","CHANGE DIAGN","FIN",86506,13
"CHANGE DIAGN","FIN","RELEASE",153649,6
"FIN","RELEASE","CODE OK",-67683,1
"NEW","CHANGE DIAGN","FIN",24185,13
"CHANGE DIAGN","FIN","RELEASE",-527372,6
"FIN","RELEASE","CODE OK",-246734,1
"NEW","FIN","RELEASE",-260791,6
"FIN","RELEASE","CODE OK",-257971,1
"NEW","FIN","RELEASE",-34560,6
"FIN","RELEASE","CODE OK",-8640,7
"NEW","CHANGE DIAGN","FIN",43200,13
"CHANGE DIAGN","FIN","RELEASE",4320,6
"FIN","RELEASE","CODE OK",-1440,14
"RELEASE","CODE OK","REOPEN",-41760,8
"CODE OK","REOPEN","FIN",-38880,13
"REOPEN","FIN","RELEASE",-44640,6
"FIN","RELEASE","CODE OK",33120,14
"RELEASE","CODE OK","REOPEN",27360,8
"CODE OK","REOPEN","FIN",44640,13
"REOPEN","FIN","RELEASE",-36000,6
"FIN","RELEASE","CODE OK",12960,14
"RELEASE","CODE OK","REOPEN",-2880,8
"CODE OK","REOPEN","FIN",47521,13
"REOPEN","FIN","RELEASE",-2543,6
"FIN","RELEASE","CODE OK",388062,1
"NEW","CHANGE DIAGN","FIN",12960,13
"CHANGE DIAGN","FIN","RELEASE",17280,6
"FIN","RELEASE","CODE OK",-4320,1
"NEW","CHANGE DIAGN","FIN",-7200,13
"CHANGE DIAGN","FIN","RELEASE",-611260,6
"FIN","RELEASE","CODE OK",-57600,1
"RELEASE","CODE OK","BILLED",-4320,16
"CODE OK","BILLED","STORNO",34560,1
"BILLED","STORNO","BILLED",15840,16
"STORNO","BILLED","STORNO",43193,1
"NEW","FIN","RELEASE",563439,6
"FIN","RELEASE","CODE OK",531698,1
"NEW","CHANGE DIAGN","FIN",-21160,13
"CHANGE DIAGN","FIN","RELEASE",534573,6
"FIN","RELEASE","CODE OK",24374,14
"RELEASE","CODE OK","REOPEN",-553279,8
"CODE OK","REOPEN","FIN",-123491,13
"REOPEN","FIN","RELEASE",-581635,6
"FIN","RELEASE","CODE OK",147417,1
"NEW","CHANGE DIAGN","FIN",85694,13
"CHANGE DIAGN","FIN","RELEASE",-191547,6
"FIN","RELEASE","CODE OK",328265,1
"NEW","CHANGE DIAGN","FIN",174602,13
"CHANGE DIAGN","FIN","RELEASE",167151,6
"FIN","RELEASE","CODE OK",-552293,1
"NEW","CHANGE DIAGN","FIN",-135309,13
"CHANGE DIAGN","FIN","RELEASE",-93482,6
"FIN","RELEASE","CODE OK",-331621,1
"NEW","CHANGE DIAGN","FIN",40475,13
"CHANGE DIAGN","FIN","RELEASE",-517066,6
"FIN","RELEASE","CODE OK",-166410,1
"NEW","CHANGE DIAGN","FIN",47044,13
"CHANGE DIAGN","FIN","RELEASE",32125,6
"FIN","RELEASE","CODE OK",536144,1
"NEW","CHANGE DIAGN","FIN",-492142,13
"CHANGE DIAGN","FIN","RELEASE",19824,6
"FIN","RELEASE","CODE OK",1661,1
"NEW","FIN","RELEASE",-362521,6
"FIN","RELEASE","CODE OK",-393711,1
"NEW","CHANGE DIAGN","FIN",-195403,13
"CHANGE DIAGN","FIN","RELEASE",331662,6
"FIN","RELEASE","CODE OK",295091,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",-417248,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",530567,13
"CHANGE DIAGN","FIN","RELEASE",23206,6
"FIN","RELEASE","CODE OK",-486793,1
"NEW","CHANGE DIAGN","FIN",138294,13
"CHANGE DIAGN","FIN","RELEASE",108028,6
"FIN","RELEASE","CODE OK",-163636,14
"RELEASE","CODE OK","REOPEN",-161055,7
"NEW","CHANGE DIAGN","FIN",-120289,13
"CHANGE DIAGN","FIN","RELEASE",-108598,6
"FIN","RELEASE","CODE OK",-104704,1
"NEW","FIN","RELEASE",55462,6
"FIN","RELEASE","CODE OK",-101729,1
"NEW","CHANGE DIAGN","FIN",71489,13
"CHANGE DIAGN","FIN","RELEASE",175651,6
"FIN","RELEASE","CODE OK",-71282,1
"NEW","CHANGE DIAGN","FIN",149890,13
"CHANGE DIAGN","FIN","RELEASE",18355,6
"FIN","RELEASE","CODE OK",18038,14
"RELEASE","CODE OK","REOPEN",4,8
"CODE OK","REOPEN","FIN",4,13
"REOPEN","FIN","RELEASE",1,6
"FIN","RELEASE","CODE OK",2,1
"NEW","CHANGE DIAGN","FIN",-185808,13
"CHANGE DIAGN","FIN","RELEASE",-164420,6
"FIN","RELEASE","CODE OK",33945,1
"NEW","CHANGE DIAGN","FIN",-224102,13
"CHANGE DIAGN","FIN","RELEASE",-228800,6
"FIN","RELEASE","CODE OK",-177021,1
"NEW","FIN","RELEASE",-97175,6
"FIN","RELEASE","CODE OK",-106575,1
"NEW","CHANGE DIAGN","FIN",898,13
"CHANGE DIAGN","FIN","RELEASE",6741,6
"FIN","RELEASE","CODE OK",432028,1
"NEW","CHANGE DIAGN","FIN",-692421,13
"CHANGE DIAGN","FIN","RELEASE",-669327,6
"FIN","RELEASE","CODE OK",131396,1
"RELEASE","CODE OK","BILLED",131597,16
"CODE OK","BILLED","STORNO",107938,1
"BILLED","STORNO","BILLED",107879,16
"STORNO","BILLED","STORNO",-131569,1
"NEW","CHANGE DIAGN","FIN",137831,13
"CHANGE DIAGN","FIN","RELEASE",106635,6
"FIN","RELEASE","CODE OK",-123332,1
"NEW","FIN","RELEASE",107916,6
"FIN","RELEASE","CODE OK",-139071,1
"NEW","FIN","RELEASE",107642,6
"FIN","RELEASE","CODE OK",107995,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",128714,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",78624,13
"CHANGE DIAGN","FIN","RELEASE",46861,6
"FIN","RELEASE","CODE OK",110835,1
"NEW","FIN","RELEASE",131982,6
"FIN","RELEASE","CODE OK",138255,1
"NEW","FIN","RELEASE",377362,6
"FIN","RELEASE","CODE OK",268561,1
"NEW","CHANGE DIAGN","FIN",128986,13
"CHANGE DIAGN","FIN","RELEASE",138217,6
"FIN","RELEASE","CODE OK",67200,14
"RELEASE","CODE OK","REOPEN",71878,8
"CODE OK","REOPEN","FIN",62823,13
"REOPEN","FIN","RELEASE",5054,6
"FIN","RELEASE","CODE OK",38734,1
"NEW","CHANGE DIAGN","FIN",108041,13
"CHANGE DIAGN","FIN","RELEASE",-144760,6
"FIN","RELEASE","CODE OK",-151027,1
"NEW","CHANGE DIAGN","FIN",198645,13
"CHANGE DIAGN","FIN","RELEASE",-102995,6
"FIN","RELEASE","CODE OK",-113011,1
"NEW","CHANGE DIAGN","FIN",107806,13
"CHANGE DIAGN","FIN","RELEASE",-84486,6
"FIN","RELEASE","CODE OK",-90759,1
"NEW","CHANGE DIAGN","FIN",57373,13
"CHANGE DIAGN","FIN","RELEASE",48405,6
"FIN","RELEASE","CODE OK",48480,1
"NEW","CHANGE DIAGN","FIN",138210,13
"CHANGE DIAGN","FIN","RELEASE",110887,6
"FIN","RELEASE","CODE OK",-114548,1
"NEW","FIN","RELEASE",118979,6
"FIN","RELEASE","CODE OK",129635,1
"NEW","FIN","RELEASE",-136737,6
"FIN","RELEASE","CODE OK",-106518,1
"NEW","CHANGE DIAGN","FIN",-136202,13
"CHANGE DIAGN","FIN","RELEASE",-142476,6
"FIN","RELEASE","CODE OK",-179898,1
"NEW","FIN","RELEASE",-68510,6
"FIN","RELEASE","CODE OK",370952,1
"NEW","CHANGE DIAGN","FIN",-484764,13
"CHANGE DIAGN","FIN","RELEASE",-488999,6
"FIN","RELEASE","CODE OK",-366168,1
"NEW","CHANGE DIAGN","FIN",-117138,13
"CHANGE DIAGN","FIN","RELEASE",-126369,6
"FIN","RELEASE","CODE OK",-99407,1
"NEW","CHANGE DIAGN","FIN",-105917,13
"CHANGE DIAGN","FIN","RELEASE",-115145,6
"FIN","RELEASE","CODE OK",-163836,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",360399,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",366720,13
"CHANGE DIAGN","FIN","RELEASE",-357065,6
"FIN","RELEASE","CODE OK",-459236,1
"NEW","CHANGE DIAGN","FIN",183397,13
"CHANGE DIAGN","FIN","RELEASE",-72889,6
"FIN","RELEASE","CODE OK",-80141,1
"NEW","FIN","RELEASE",79794,6
"FIN","RELEASE","CODE OK",131703,1
"NEW","FIN","RELEASE",-126405,6
"FIN","RELEASE","CODE OK",-96177,1
"NEW","FIN","RELEASE",-140516,6
"FIN","RELEASE","CODE OK",-146795,1
"NEW","CHANGE DIAGN","FIN",107815,13
"CHANGE DIAGN","FIN","RELEASE",-94217,6
"FIN","RELEASE","CODE OK",-100490,1
"NEW","FIN","RELEASE",-163479,6
"FIN","RELEASE","CODE OK",-172712,1
"NEW","FIN","RELEASE",129836,6
"FIN","RELEASE","CODE OK",-92860,1
"NEW","CHANGE DIAGN","FIN",22466,13
"CHANGE DIAGN","FIN","RELEASE",63826,6
"FIN","RELEASE","CODE OK",-80007,1
"NEW","CHANGE DIAGN","FIN",138001,13
"CHANGE DIAGN","FIN","RELEASE",110790,6
"FIN","RELEASE","CODE OK",-154634,1
"NEW","CHANGE DIAGN","FIN",71224,13
"CHANGE DIAGN","FIN","RELEASE",376752,6
"FIN","RELEASE","CODE OK",-37941,1
"NEW","CHANGE DIAGN","FIN",-8171,13
"CHANGE DIAGN","FIN","RELEASE",-130822,6
"FIN","RELEASE","CODE OK",75338,14
"RELEASE","CODE OK","REOPEN",74268,8
"CODE OK","REOPEN","FIN",77056,13
"REOPEN","FIN","RELEASE",164168,6
"FIN","RELEASE","CODE OK",-111609,1
"NEW","FIN","RELEASE",168714,6
"FIN","RELEASE","CODE OK",133189,1
"NEW","FIN","RELEASE",-42514,1
"NEW","FIN","RELEASE",470067,6
"FIN","RELEASE","CODE OK",465542,1
"NEW","CHANGE DIAGN","FIN",-558392,13
"CHANGE DIAGN","FIN","RELEASE",-431137,6
"FIN","RELEASE","CODE OK",127442,1
"NEW","FIN","RELEASE",556029,6
"FIN","RELEASE","CODE OK",260339,1
"NEW","CHANGE DIAGN","FIN",128520,13
"CHANGE DIAGN","FIN","RELEASE",128670,6
"FIN","RELEASE","CODE OK",68673,1
"NEW","FIN","RELEASE",6384,6
"FIN","RELEASE","CODE OK",244080,1
"NEW","FIN","RELEASE",-201723,6
"FIN","RELEASE","CODE OK",105751,1
"NEW","FIN","REOPEN",-584453,7
"NEW","CHANGE DIAGN","FIN",116520,13
"CHANGE DIAGN","FIN","RELEASE",109250,6
"FIN","RELEASE","CODE OK",-113091,1
"NEW","CHANGE DIAGN","FIN",137781,13
"CHANGE DIAGN","FIN","RELEASE",310336,6
"FIN","RELEASE","CODE OK",-146692,1
"NEW","FIN","RELEASE",137838,6
"FIN","RELEASE","CODE OK",126934,1
"NEW","FIN","RELEASE",109501,6
"FIN","RELEASE","CODE OK",48746,1
"NEW","CHANGE DIAGN","FIN",106950,13
"CHANGE DIAGN","FIN","RELEASE",-177261,6
"FIN","RELEASE","CODE OK",-152761,1
"NEW","FIN","RELEASE",130973,6
"FIN","RELEASE","CODE OK",-100066,1
"NEW","FIN","RELEASE",32058,6
"FIN","RELEASE","CODE OK",-305833,1
"NEW","CHANGE DIAGN","FIN",137865,13
"CHANGE DIAGN","FIN","RELEASE",107950,6
"FIN","RELEASE","CODE OK",-161795,1
"NEW","FIN","RELEASE",137832,6
"FIN","RELEASE","CODE OK",107981,1
"NEW","CHANGE DIAGN","FIN",183878,13
"CHANGE DIAGN","FIN","RELEASE",188176,6
"FIN","RELEASE","CODE OK",54507,1
"RELEASE","CODE OK","BILLED",-138943,16
"CODE OK","BILLED","STORNO",-143248,12
"BILLED","STORNO","REJECT",-18771,1
"NEW","CHANGE DIAGN","FIN",-203707,13
"CHANGE DIAGN","FIN","RELEASE",-206711,6
"FIN","RELEASE","CODE OK",-119350,1
"NEW","CHANGE DIAGN","FIN",2815,13
"CHANGE DIAGN","FIN","RELEASE",-646438,6
"FIN","RELEASE","CODE OK",-647361,1
"NEW","FIN","RELEASE",215254,6
"FIN","RELEASE","CODE OK",196108,1
"NEW","CHANGE DIAGN","FIN",137978,13
