"Activity1","Activity2","Activity3","Duration","Next_Activity","V6"
1,8,9,8,17142,6
8,9,8,6,25576,8
9,8,6,8,19844,6
1,8,6,8,10494,6
1,8,6,8,1436,6
1,1,1,8,2544,9
1,1,8,9,5900,8
1,8,9,8,5900,9
8,9,8,9,7643,8
9,8,9,8,7479,6
1,8,9,8,372,6
1,8,9,9,43432,6
1,1,1,8,22700,9
1,1,8,9,31720,8
1,8,9,8,20676,6
1,8,6,8,14150,6
1,8,9,9,27126,6
1,8,9,8,25,6
1,8,9,8,15946,6
1,8,9,8,14671,6
1,8,9,8,1727,6
1,8,9,9,22928,8
8,9,9,8,23025,9
9,9,8,9,5673,8
9,8,9,8,5673,2
8,9,8,2,5823,6
1,6,9,9,14157,6
1,8,8,8,25746,6
1,8,8,8,14681,6
1,8,9,8,7660,9
8,9,8,9,8358,6
1,8,9,8,14109,9
8,9,8,9,25443,8
9,8,9,8,25442,6
1,1,8,9,54718,8
1,8,9,8,54715,6
3,1,1,8,67,6
1,8,9,8,16018,9
8,9,8,9,27244,6
1,8,9,8,34751,6
1,8,9,8,14568,6
