"Activity1","Activity2","Activity3","Duration","Next_Activity","V6","V7"
"RELEASE","CODE OK","BILLED","STORNO","BILLED",168286,"STORNO"
"CODE OK","BILLED","STORNO","BILLED","STORNO",-35997,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-450,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-144612,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",259420,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",336795,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",287693,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",-64048,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-72828,"BILLED"
"NEW","FIN","RELEASE","CODE OK","BILLED",-88421,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",-49754,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",-58081,"REOPEN"
"CODE OK","BILLED","STORNO","REJECT","REOPEN",-30750,"FIN"
"BILLED","STORNO","REJECT","REOPEN","FIN",225347,"RELEASE"
"STORNO","REJECT","REOPEN","FIN","RELEASE",226214,"CODE OK"
"REJECT","REOPEN","FIN","RELEASE","CODE OK",220844,"BILLED"
"NEW","FIN","RELEASE","CODE OK","BILLED",278463,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",-33179,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",-144477,"REOPEN"
"CODE OK","BILLED","STORNO","REJECT","REOPEN",-33441,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",360037,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-131794,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",12983,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-138568,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-130219,"BILLED"
"NEW","FIN","RELEASE","CODE OK","REOPEN",-122930,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",11320,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",4138,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-118974,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-128014,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",132971,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",10,"BILLED"
"NEW","FIN","RELEASE","CODE OK","MANUAL",-20352,"RELEASE"
"FIN","RELEASE","CODE OK","MANUAL","RELEASE",-135839,"CODE OK"
"RELEASE","CODE OK","MANUAL","RELEASE","CODE OK",-1616,"REOPEN"
"CODE OK","MANUAL","RELEASE","CODE OK","REOPEN",-5801,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",15567,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-152317,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",278395,"BILLED"
"NEW","FIN","RELEASE","CODE OK","REOPEN",259519,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",-2853,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",-132754,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-70866,"BILLED"
"NEW","FIN","RELEASE","CODE OK","BILLED",80375,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",73552,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",-127761,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-143635,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",295764,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",189795,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-99091,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",176204,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-117664,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-61033,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",456153,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE NOK",278351,"CODE NOK"
"CHANGE DIAGN","FIN","RELEASE","CODE NOK","CODE NOK",-80513,"SET STATUS"
"FIN","RELEASE","CODE NOK","CODE NOK","SET STATUS",-60836,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",132976,"BILLED"
"NEW","CHANGE DIAGN","FIN","FIN","RELEASE",-165841,"CODE OK"
"CHANGE DIAGN","FIN","FIN","RELEASE","CODE OK",-166204,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-12844,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-56457,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","CHANGE DIAGN","FIN",92608,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",85211,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",33538,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",36016,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",38887,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-75949,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",286578,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",291308,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",187826,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",-7103,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-371606,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-400,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-49345,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-219600,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",173052,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",208348,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",-174220,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",-176408,"REOPEN"
"CODE OK","BILLED","STORNO","REJECT","REOPEN",-168660,"CHANGE DIAGN"
"BILLED","STORNO","REJECT","REOPEN","CHANGE DIAGN",-168656,"CODE OK"
"STORNO","REJECT","REOPEN","CHANGE DIAGN","CODE OK",-212587,"FIN"
"REJECT","REOPEN","CHANGE DIAGN","CODE OK","FIN",34569,"RELEASE"
"REOPEN","CHANGE DIAGN","CODE OK","FIN","RELEASE",80732,"CODE OK"
"CHANGE DIAGN","CODE OK","FIN","RELEASE","CODE OK",121794,"REOPEN"
"CODE OK","FIN","RELEASE","CODE OK","REOPEN",127108,"CHANGE DIAGN"
"FIN","RELEASE","CODE OK","REOPEN","CHANGE DIAGN",-29802,"FIN"
"RELEASE","CODE OK","REOPEN","CHANGE DIAGN","FIN",-56036,"RELEASE"
"CODE OK","REOPEN","CHANGE DIAGN","FIN","RELEASE",-12885,"CODE OK"
"REOPEN","CHANGE DIAGN","FIN","RELEASE","CODE OK",-22634,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-99274,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",-11917,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",29104,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",28620,"REOPEN"
"CODE OK","BILLED","STORNO","REJECT","REOPEN",113644,"FIN"
"BILLED","STORNO","REJECT","REOPEN","FIN",113707,"RELEASE"
"STORNO","REJECT","REOPEN","FIN","RELEASE",-89783,"CODE OK"
"REJECT","REOPEN","FIN","RELEASE","CODE OK",259249,"REOPEN"
"REOPEN","FIN","RELEASE","CODE OK","REOPEN",17797,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",-111223,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",-44813,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-49270,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",11480,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",342963,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",33170,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-469335,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",-469480,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-44640,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-303331,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",-271651,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-262820,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",5760,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",-38880,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",-44640,"CHANGE DIAGN"
"FIN","RELEASE","CODE OK","REOPEN","CHANGE DIAGN",36000,"FIN"
"RELEASE","CODE OK","REOPEN","CHANGE DIAGN","FIN",41760,"RELEASE"
"CODE OK","REOPEN","CHANGE DIAGN","FIN","RELEASE",-12960,"CODE OK"
"REOPEN","CHANGE DIAGN","FIN","RELEASE","CODE OK",15840,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-1440,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-9971,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-7199,"BILLED"
"NEW","FIN","RELEASE","CODE OK","REOPEN",-530053,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",-12100,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",-45197,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",580568,"BILLED"
"NEW","FIN","RELEASE","CODE OK","REOPEN",23048,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",174275,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",174360,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",174321,"BILLED"
"NEW","FIN","RELEASE","CODE OK","REOPEN",194112,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",44641,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",44640,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",44640,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-43720,"BILLED"
"NEW","FIN","RELEASE","CODE OK","BILLED",46080,"CODE OK"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-4086,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-1435,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",5761,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-279451,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",12986,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",97956,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",98020,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",103827,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",121747,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-182933,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",1440,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",182696,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-490315,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",-7134,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",46080,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",46080,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",46081,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",46060,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-41730,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",560113,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",238149,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",97550,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",2,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-1061795,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",14010,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",503583,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-4320,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",51462,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",544130,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",700267,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",30254,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-513442,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",258382,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",188226,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",46109,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",-137514,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",-122061,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",172440,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",439093,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-532795,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",-2823,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",-524562,"BILLED"
"RELEASE","CODE OK","BILLED","STORNO","BILLED",-405289,"STORNO"
"CODE OK","BILLED","STORNO","BILLED","STORNO",-407799,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-442518,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",34535,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",235479,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-327074,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-100760,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",459487,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",4327,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-124758,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-141493,"BILLED"
"NEW","FIN","RELEASE","CODE OK","BILLED",50302,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",50645,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",51835,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-130396,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-33422,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",-41483,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",-159517,"MANUAL"
"FIN","RELEASE","CODE OK","BILLED","MANUAL",277005,"CODE OK"
"RELEASE","CODE OK","BILLED","MANUAL","CODE OK",37451,"MANUAL"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-161058,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","REOPEN",89640,"FIN"
"CHANGE DIAGN","FIN","RELEASE","REOPEN","FIN",84088,"RELEASE"
"FIN","RELEASE","REOPEN","FIN","RELEASE",2968,"CODE OK"
"RELEASE","REOPEN","FIN","RELEASE","CODE OK",-196894,"BILLED"
"NEW","FIN","RELEASE","CODE OK","BILLED",276963,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",6877,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",-85554,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-166026,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-89725,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-194917,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",157684,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-5706,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",459219,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",258127,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",258051,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",-31408,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",571596,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",27878,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-428230,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-115949,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-91170,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-3252,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-65454,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-96593,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",-130094,"BILLED"
"NEW","FIN","RELEASE","CODE OK","RELEASE",-124336,"CODE OK"
"FIN","RELEASE","CODE OK","RELEASE","CODE OK",-118473,"BILLED"
"NEW","NEW","NEW","NEW","NEW",-16372,"NEW"
"NEW","NEW","NEW","NEW","NEW",-15857,"NEW"
"NEW","NEW","NEW","NEW","NEW",-165857,"NEW"
"NEW","NEW","NEW","NEW","NEW",54790,"NEW"
"NEW","NEW","NEW","NEW","NEW",50410,"NEW"
"NEW","NEW","NEW","NEW","NEW",44246,"NEW"
"NEW","NEW","NEW","NEW","NEW",52533,"NEW"
"NEW","NEW","NEW","NEW","NEW",108847,"NEW"
"NEW","NEW","NEW","NEW","NEW",61154,"NEW"
"NEW","NEW","NEW","NEW","NEW",75734,"NEW"
"NEW","NEW","NEW","NEW","NEW",166736,"NEW"
"NEW","NEW","NEW","NEW","NEW",-50575,"NEW"
"NEW","NEW","NEW","NEW","NEW",-106944,"NEW"
"NEW","NEW","NEW","NEW","NEW",-101139,"NEW"
"NEW","NEW","NEW","NEW","NEW",-110800,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-275161,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-139317,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",51145,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",178881,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",224766,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",227924,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",258038,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",21607,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",224188,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-413273,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",-387699,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",-387338,"BILLED"
"RELEASE","CODE OK","BILLED","STORNO","BILLED",-415560,"STORNO"
"CODE OK","BILLED","STORNO","BILLED","STORNO",54711,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",341264,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-373613,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",120600,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",-105086,"DELETE"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",276974,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",-15679,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-7679,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-23318,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","CODE OK",258028,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",13939,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",137907,"BILLED"
"NEW","NEW","JOIN-PAT","JOIN-PAT","JOIN-PAT",-272311,"JOIN-PAT"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-122912,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-102868,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",-104834,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",256940,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",257863,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",257846,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",275863,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",165534,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",256935,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-82365,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",64742,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-46281,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-18918,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-31718,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",-37205,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",-152221,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",256758,"REOPEN"
"CODE OK","BILLED","STORNO","REJECT","REOPEN",46081,"FIN"
"BILLED","STORNO","REJECT","REOPEN","FIN",-87047,"RELEASE"
"STORNO","REJECT","REOPEN","FIN","RELEASE",31123,"CODE OK"
"REJECT","REOPEN","FIN","RELEASE","CODE OK",27451,"BILLED"
"REOPEN","FIN","RELEASE","CODE OK","BILLED",-87405,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",165317,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",-5373,"RELEASE"
"CODE OK","BILLED","STORNO","REJECT","RELEASE",-123853,"CODE OK"
"BILLED","STORNO","REJECT","RELEASE","CODE OK",6953,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",275118,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-351900,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",-361479,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",298484,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-44623,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",61915,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",107393,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",-20421,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",455649,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",455638,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-169406,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-137513,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-177204,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-162586,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-40320,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-345608,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",194556,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-181530,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-23933,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",-14022,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-157287,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",344369,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-260400,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",286198,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",-32959,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",-30078,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",-127480,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-126089,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",150049,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-8569,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-33096,"BILLED"
"NEW","FIN","RELEASE","CODE OK","REOPEN",-10078,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",-138735,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",-47800,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-56193,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-89372,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-135150,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",275723,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-7271,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-55269,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-58526,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",29990,"BILLED"
