"Activity1","Activity2","Activity3","Duration","Next_Activity","V6"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-152761,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-99968,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-305728,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",239272,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-161530,"BILLED"
"NEW","FIN","RELEASE","CODE OK",239270,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",188183,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",238244,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",-138809,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-138943,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",31297,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-203707,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-57870,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-646431,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-646438,"BILLED"
"NEW","FIN","RELEASE","CODE OK",220659,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",239427,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-171669,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",239313,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-119775,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",131734,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",230738,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",-98195,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-98544,"BILLED"
"CODE OK","BILLED","STORNO","BILLED",-10147,"STORNO"
"BILLED","STORNO","BILLED","STORNO",-117740,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-140797,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",108687,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",100434,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",145227,"BILLED"
"NEW","FIN","RELEASE","CODE NOK",78834,"CODE NOK"
"FIN","RELEASE","CODE NOK","CODE NOK",238023,"RELEASE"
"RELEASE","CODE NOK","CODE NOK","RELEASE",-108831,"CODE NOK"
"CODE NOK","CODE NOK","RELEASE","CODE NOK",-108893,"CODE OK"
"CODE NOK","RELEASE","CODE NOK","CODE OK",-83033,"BILLED"
"RELEASE","CODE NOK","CODE OK","BILLED",-241738,"CODE OK"
"CODE NOK","CODE OK","BILLED","CODE OK",41093,"MANUAL"
"NEW","CHANGE DIAGN","FIN","RELEASE",-241609,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",9335,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-205567,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",9213,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-150677,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",85566,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",137879,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-79417,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",-77444,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",-98267,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-74382,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-33454,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-677754,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-672058,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-3123,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",-68342,"CODE OK"
"NEW","FIN","RELEASE","CODE OK",207878,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-71307,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-74295,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-101004,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE",2487,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-97602,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",-122972,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",212804,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",311777,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-306877,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-3134,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-146355,"RELEASE"
"FIN","RELEASE","CODE OK","RELEASE",-23313,"CODE OK"
"RELEASE","CODE OK","RELEASE","CODE OK",-123418,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE",-97404,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-146464,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-24849,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-100391,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-104654,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",258203,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-91634,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",257175,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-134659,"CODE OK"
"FIN","RELEASE","CODE OK","CODE OK",-134768,"REOPEN"
"RELEASE","CODE OK","CODE OK","REOPEN",-77993,"FIN"
"CODE OK","CODE OK","REOPEN","FIN",-197310,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",69964,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",136731,"BILLED"
"NEW","FIN","RELEASE","CODE OK",549016,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",11046,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",135464,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",245238,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-174731,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-474441,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",151142,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",116664,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-119514,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-484055,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-13238,"BILLED"
"NEW","FIN","RELEASE","CODE OK",684702,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","CHANGE DIAGN",-133760,"FIN"
"CHANGE DIAGN","CHANGE DIAGN","CHANGE DIAGN","FIN",-7573,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-125966,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",137830,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-159440,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",115162,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-83730,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-77980,"BILLED"
"NEW","FIN","RELEASE","CODE OK",126384,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",130578,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",237054,"BILLED"
"NEW","NEW","NEW","NEW",550230,"DELETE"
"NEW","FIN","RELEASE","CODE OK",550219,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-528763,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-496512,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",-539434,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-504686,"BILLED"
"CODE OK","BILLED","STORNO","BILLED",111766,"STORNO"
"BILLED","STORNO","BILLED","STORNO",491989,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-10283,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-501594,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-508795,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-516634,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",257901,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",21987,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",21951,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",25736,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-137957,"BILLED"
"NEW","FIN","RELEASE","CODE OK",14172,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-111464,"RELEASE"
"FIN","RELEASE","CODE OK","RELEASE",-78232,"CODE OK"
"RELEASE","CODE OK","RELEASE","CODE OK",-84625,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",366210,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",247089,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",549639,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-535906,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-522977,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-515583,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-508950,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-181767,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-38880,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",311635,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",43200,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",15840,"BILLED"
"CODE OK","BILLED","STORNO","BILLED",-7200,"STORNO"
"BILLED","STORNO","BILLED","STORNO",-294355,"BILLED"
"NEW","FIN","RELEASE","CODE OK",1440,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",28800,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-41760,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-23040,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",-1436,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-54654,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-33070,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",32197,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",32139,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",531041,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",534858,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-573675,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-436503,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",413765,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",413750,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-517290,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-526312,"BILLED"
"NEW","FIN","RELEASE","CODE OK",411310,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-551995,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-557454,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",17191,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-61390,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-61436,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",-202677,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",114669,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",100351,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-16300,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",510781,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",-58541,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",337353,"BILLED"
"CODE OK","BILLED","STORNO","BILLED",490507,"STORNO"
"BILLED","STORNO","BILLED","STORNO",-29365,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-377163,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",163601,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",238165,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-163406,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",-163547,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",229935,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",236704,"BILLED"
"NEW","FIN","RELEASE","CODE OK",163546,"BILLED"
"NEW","FIN","RELEASE","CODE OK",162188,"BILLED"
"NEW","NEW","JOIN-PAT","JOIN-PAT",-130460,"JOIN-PAT"
"NEW","JOIN-PAT","JOIN-PAT","JOIN-PAT",-76614,"JOIN-PAT"
"JOIN-PAT","JOIN-PAT","JOIN-PAT","JOIN-PAT",-99338,"DELETE"
"JOIN-PAT","JOIN-PAT","JOIN-PAT","DELETE",163544,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE",34925,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",226063,"BILLED"
"NEW","FIN","RELEASE","CODE OK",137589,"BILLED"
"NEW","FIN","RELEASE","CODE OK",238073,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",130504,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",157443,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",134643,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",137662,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-204112,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",78804,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",149694,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",77302,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",77013,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",71076,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-122116,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",137669,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",237971,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",-93931,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-94306,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",28462,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",-71575,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",137583,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",237981,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-119019,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-121177,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",137472,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",216442,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-147323,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",205008,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-123316,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-174904,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-174826,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-68118,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-117338,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",653210,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",652835,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",137535,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",237943,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",72822,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",256430,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",124925,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-387024,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",237850,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-105619,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",237889,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-122880,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",238036,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-176226,"BILLED"
"NEW","FIN","RELEASE","CODE OK",237924,"BILLED"
"NEW","FIN","RELEASE","CODE OK",437147,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",79419,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",149129,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-149990,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",186257,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-178073,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",59886,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-106239,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",20013,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-78930,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",118849,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",146477,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-127222,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",-107134,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-136419,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",40232,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-58301,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-52249,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-150877,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",137508,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",256761,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-128335,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",-128710,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-122572,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-122947,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-39245,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-139035,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",-46508,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-214241,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",71388,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",815,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",137385,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-254921,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",2344,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",113275,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",137837,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",60128,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-96126,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",66608,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",64333,"BILLED"
"NEW","CHANGE DIAGN","FIN","FIN",137275,"RELEASE"
"CHANGE DIAGN","FIN","FIN","RELEASE",438726,"CODE OK"
"FIN","FIN","RELEASE","CODE OK",-126982,"BILLED"
"NEW","FIN","RELEASE","CODE OK",438731,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-665171,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-659520,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-1434,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",173520,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",137325,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-191153,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-20498,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",111809,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",-124958,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",126128,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",157492,"BILLED"
"NEW","FIN","RELEASE","CODE OK",100260,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-78924,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",137660,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-197527,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",113693,"BILLED"
"NEW","FIN","RELEASE","CODE OK",213590,"BILLED"
"NEW","FIN","RELEASE","CODE NOK",198957,"SET STATUS"
"NEW","CHANGE DIAGN","FIN","RELEASE",-570889,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-63507,"BILLED"
"NEW","FIN","RELEASE","RELEASE",-95032,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-515646,"BILLED"
"NEW","FIN","RELEASE","CODE OK",31649,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-558831,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-206560,"BILLED"
"NEW","FIN","RELEASE","CODE OK",171066,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-441660,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",237501,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-100849,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",425858,"REOPEN"
"BILLED","STORNO","REJECT","REOPEN",419255,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE",-527960,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-238069,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-273417,"RELEASE"
"FIN","RELEASE","CODE OK","RELEASE",-253435,"CODE OK"
"RELEASE","CODE OK","RELEASE","CODE OK",2924,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-1292,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-18484,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-7136,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",527758,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-60332,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-69943,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",237469,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-198738,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-154051,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-551750,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-504235,"BILLED"
"NEW","FIN","RELEASE","CODE OK",147486,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-184783,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",-8490,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-18130,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",548678,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-83297,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-496077,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-56518,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-62206,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",27708,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",547969,"BILLED"
"NEW","FIN","RELEASE","CODE OK",4320,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-53280,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",225514,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",2959,"CODE NOK"
"CHANGE DIAGN","FIN","RELEASE","CODE NOK",13162,"CODE OK"
"FIN","RELEASE","CODE NOK","CODE OK",12763,"BILLED"
"NEW","FIN","RELEASE","CODE OK",12194,"BILLED"
"NEW","FIN","RELEASE","CODE OK",433574,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-334457,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-340307,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",286941,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",227604,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",548466,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",-511604,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-425318,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",-431216,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",74087,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","REOPEN",467,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE",-477836,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-48684,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-346283,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",-346683,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-222068,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",-240610,"REOPEN"
"BILLED","STORNO","REJECT","REOPEN",137796,"DELETE"
"NEW","FIN","RELEASE","CODE OK",137745,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",-96256,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",137422,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",437535,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",-109717,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-109949,"BILLED"
"CODE OK","BILLED","STORNO","BILLED",-53595,"STORNO"
"BILLED","STORNO","BILLED","STORNO",-353493,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",236824,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-27431,"BILLED"
"NEW","FIN","RELEASE","CODE OK",236806,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-25317,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-223808,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",25282,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",618364,"SET STATUS"
"NEW","CHANGE DIAGN","FIN","RELEASE",137699,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",236658,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",219428,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-153396,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",432145,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",546240,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-522268,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-128992,"BILLED"
